116;6667;2008-03-15;Souchard, Philippe;Streching global activo I. ;Paidotribo;;796;Disponible
117;6668;2008-03-15;Souchard, Philippe;Streching global activo I.  ;Paidotribo;;796;Disponible
118;6669;2008-03-15;Nik;Gaturro 2.;Ediciones de a Flor;;82-36;Disponible
119;6670;2008-03-15;Nik;Gaturro  4.;Ediciones de a Flor;;82-36;Disponible
120;6671;2008-03-15;Mastretta, µngeles;Mujeres de ojos grandes.;Seix Barral;;82-32;Disponible
121;6672;2008-03-15;Rol¢n, Gabriel;Historias de div†n.   ;Planeta;;159.9;Disponible
122;6673;2008-03-15;Sacheri, Eduardo;Te conozco Mendiz†bal.;Galerna;;82-34;Disponible
123;6674;2008-03-15;Machado, Ana Mar°a;De carta en carta.;Alfaguara;;82-32;Disponible
124;6675;2008-03-15;Sacheri, Eduardo;Esperandolo a Tito.;Galerna;;82-32;Disponible
125;6676;2008-03-15;Aduriz- Bravo, Agust°n;Biolog°a (Perspectiva)   ;Santillana;;573.075;Disponible
126;6677;2008-03-15;Catteruzza, Alejandro;Historia ( Perspectiva)   ;Santillana;;93.075;Disponible
127;6678;2008-03-15;Alegr°a,M¢nica;Qu°mica (Perspectiva)      ;Santillana;;54.075;Disponible
128;6679;2008-03-15;Arzeno, Mariana;Geograf°a (Perspectiva) ;Santillana;;91.075;Disponible
129;6680;2008-03-15;Carroza, Wuilfredo;Historia ( Perspectiva)  ;Santillana;;93.075;Disponible
130;6681;2008-03-17;Stilton,Ger¢nimo;Misterioso manuscrito de Nostrarratus.;Destino;;82-32;Disponible
131;6682;2008-03-17;Nik;Garfield VI.;Ediciones de a Flor;;82-36;Disponible
132;6683;2008-03-17;Nik;Garfield VII.;Ediciones de a Flor;;82-36;Disponible
133;6684;2008-03-17;Pi§eyro, Claudia;Las viudas de los jueves.;Alfaguara;;82-32;Disponible
134;6685;2008-03-17;Fadiman, Clifton;Un plan de lectura. ;Planeta;;82.4;Disponible
135;6686;2008-03-17;Quiroga, Horacio;Cuentos de la selva.;Terramar;;82-34;Disponible
136;6687;2008-03-17;Quiroga, Horacio;Cuentos de la selva.;Terramar;;82-34;Disponible
137;6688;2008-03-17;An¢nimo;Poema del M°o Cid. ;Terramar;;82-13;Disponible
138;6689;2008-03-17;An¢nimo;Poema del M°o Cid.  ;Terramar;;82-13;Disponible
139;6690;2008-03-17;Hern†ndez, JosÇ;Mart°n Fierro.    ;Terramar;;82-398;Disponible
140;6691;2008-03-17;Hern†ndez, JosÇ;Mart°n Fierro.   ;Terramar;;82-398;Disponible
141;6692;2008-04-06;Rivera, Iris;Cuentos populares de aqu° y de all†.  ;Estrada;;82-34;Disponible
142;6693;2008-04-06;Weissfeld, Claudio;Historias de p°caros de todos los tiempos.  ;Estrada;;82-35;Disponible
143;6694;2008-04-06;Antolog°a;Cuentos de Aventura.   ;Estrada;;82-93;Disponible
144;6695;2008-04-06;Antolog°a;Cuentos de Aventura. ;Estrada;;82-93;Disponible
145;6696;2008-04-06;Caskie, Kathryn;Las normas de la pasi¢n.;Titania;;82-34;Disponible
146;6697;2008-04-06;Dood, Christina;La novia robada.;Titania;;82-32;Disponible
147;6698;2008-04-06;Hangling, Rolando;El tiempo de la mala mujer.;Sudamericana;;82-32;Disponible
148;6699;2008-04-06;Galeano, Eduardo;Espejos.     ;Siglo XXI Editores;;82-4;Disponible
149;6700;2008-04-06;Banegas, Cristina;El pa°s de las brujas. ;Santillana;;82-35;Disponible
150;6701;2008-04-06;Falconi, Mar°a InÇs;El nuevo.;Santillana;;82-34;Disponible
151;6702;2008-04-06;Shakespeare, William;Romeo y Julieta.;C†ntaro;;82-32;Disponible
152;6703;2008-04-06;Shakespeare, William;Romeo y Julieta.;C†ntaro;;82-32;Disponible
153;6704;2008-04-06;Quinn, Julia;Por un beso.;Titania;;82-32;Disponible
154;6705;2008-04-06;Rizzi, Anal°a y otros;Una historia para pensar(Europa-AmÇrica).     ;Kaelusz;;93.075;Disponible
155;6706;2008-04-06;Basch, Adela;Las incre°bles aventuras de Don Quijote y?.;Estrada;;82-35;Disponible
156;6707;2008-04-06;Basch, Adela;Las incre°bles aventuras de Don Quijote y?.  ;Estrada;;82-35;Disponible
157;6708;2008-04-06;Dickens, Charles;Canci¢n de Navidad.;Santillana;;82-32;Disponible
158;6709;2008-04-06;Mantovani, Alfredo;El teatro un juego m†s.;Novedades Educativas;;82-2;Disponible
159;6710;2008-04-06;Aguinis. Marcos;La pasi¢n seg£n Carmela.;Sudamericana;;82-34;Disponible
160;6711;2008-04-06;Aguinis. Marcos;La matriz del infierno.;Planeta;;83-34;Disponible
161;6712;2008-04-06;Allende, Isabel;Paula.    ;Debolsillo;;82-94;Disponible
162;6713;2008-04-06;Plat¢n;Apolog°a de S¢crates.     ;Gezeta;;82-1;Disponible
